Phylum	Class	Order	Family	Genus	species	Common name	NCBI taxon ID	Genome accession #	Bioproject #	DOI of manuscript 	Submission date	Number of genomes for the species	Assembled length	Contig N50	Estimated genome size	Sequencing coverage	Assembler	Sequencing technology	Read length	BUSCO % complete (combined) 	BUSCO % complete and singly copy 	BUSCO  % complete and duplicated 	BUSCO  % fragmented 	BUSCO  % missing 	Chromosome number 	Ploidy number	Submitting institution 	Country of submission	Continent of submission	Domestication status
Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Euphorbia	esula	leafy spurge	3993	GCA_002918425.1	PRJNA411945		06/02/18	2	638991815	936	300534644	18	Trinity v. 2.0	Illumina HiSeq	short	35,2	18,4	16,8	28,5	36,3			USDA-ARS	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Hevea	brasiliensis	rubber tree	3981	GCA_010458925.1	PRJNA587314		12/02/20	6	1473451759	152719	1053368635	100	FALCON v. 0.0.6	PacBio RS	long	84	75,1	8,9	6,4	9,6	36	2	South China Agricultural University	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Jatropha	curcas		180498	GCA_004143595.1	PRJNA470761		06/02/19	5	265767167	134284	84534410	65	DBG2OLC, MASURCA and RNA scaffolding v. APR 2018	"Illumina; PacBio"	long	87,3	86,3	1	2	10,7	22	2	Reliance Industries Ltd.	India	Asia	Cultivated
Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Manihot	esculenta	cassava	3983	GCA_013618965.1	PRJNA578024	https://doi.org/10.1038/ncomms6110	24/07/20	4	710028560	4575446	194501047	90	"Canu v. 1.5; Wtdbg v. 1.2.8"	"PacBio Sequel; PacBio RSII"	long	92,9	81,7	11,2	1,5	5,6	36	2	ITBB	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Mercurialis	annus					https://doi.org/10.1534/genetics.119.302045	21/05/19		640000000	12808	639000000		"SOAPdenovo; SSPACE"	PacBio and Illumina	long 								University of Lausanne	Switzerland	Europe	Wild
Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Ricinus	communis	castor bean	3988	GCA_000151685.2	PRJNA16585		07/07/11	2	350458699	21401	270563938				short	94,8	94,2	0,6	2,7	2,5			J. Craig Venter Institute	USA	North America	Cultivated
Tracheophyta	Magnoliopsida	Malpighiales	Euphorbiaceae	Vernicia	fordii					https://doi.org/10.1016/j.gpb.2019.03.006	01/12/19	2	1120000000		1310000000			PacBion and Illumina	long 								Central South University of Forestry and Technology	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Malpighiales	Hypericaceae	Hypericum	perforatum		65561	GCA_012979155.1	PRJNA523311		06/05/20	1	352864971	37536	111712144	130	Supernova v. 2.1.0	Illumina HiSeq	short	89	77,4	11,6	4,4	6,6	16	2	University of Padova	Italy	Europe	Cultivated
Tracheophyta	Magnoliopsida	Malpighiales	Linaceae	Linum	bienne		347648	GCA_010665285.1	PRJNA449140		14/02/20	1	293578849	106843	91434608	92,88	ALLpaths-LG v. 52488	Illumina HiSeq	short	94,9	43,2	51,7	1,5	3,6	18		Gansu Academy of Agricultural Sciences	China	Asia	Wild relative
Tracheophyta	Magnoliopsida	Malpighiales	Linaceae	Linum	usitatissimum		4006	GCA_014858635.1	PRJNA648016	https://doi.org/10.3389/fgene.2020.590282	07/10/20	4	361104539	350861	314173599	23	"Canu v. 2.0; Racon v. 1.23; Medaka v. 1.0.3; POLCA v. 3.4.1"	"Oxford Nanopore MinION; Illumina NextSeq"	long	96,2	28,9	67,3	0,6	3,2	30	2	Engelhardt Institute of Molecular Biology, Russian Academy of Sciences	Russia	Asia	Domesticated
Tracheophyta	Magnoliopsida	Malpighiales	Passifloraceae	Passiflora	edulis	passion fruit	78168	GCA_002156105.1	PRJNA371406		22/05/17	1	165656733	1303	56380112	4,5	CLC NGS Cell v. 4.1	Illumina GAII	short	35,7	35,5	0,2	34,6	29,7	18	2	Beltsville Agricultural Research Center	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Malpighiales	Rafflesiaceae	Rafflesia	leonardi		1477589	GCA_009866635.1	PRJNA552268		14/01/20	1	121494831	451	40234075	3	CLC genome Workbench v. 5	Illumina HiSeq	short	0,1	0,1	0	0,6	99,3			Southern Illinois University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malpighiales	Rafflesiaceae	Sapria	himalayana					DOI:https://doi.org/10.1016/j.cub.2020.12.045	1/22/2021	1	2500000000														Harvard University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malpighiales	Rhizophoraceae	Kandelia	obovata					https://doi.org/10.1038/s41438-020-0300-x	02/05/20	1	177990000	5743053	211860000		"FALCON; SMARTdenovo"	PacBio and Illumina	long 								Fujian Agriculture and Forestry University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Malpighiales	Rhizophoraceae	Rhizophora	apiculata		106626	GCA_900174605.1	PRJEB8423		28/09/17	2	232055149	4319773	72223663	400			long	95,5	93,2	2,3	1,4	3,1			Zhang Zhang	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	alba	white poplar	43335	GCA_005239225.1	PRJNA491245		08/05/19	2	415990855	1180906	592685563	130,17	SMARTdenovo v. OCT-2016	"PacBio RSII; Illumina HiSeq"	long	96,7	80	16,7	1	2,3			Chinese Academy of Forestry	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	davidiana		266767	GCA_014885075.1	PRJNA628187		13/10/20	1	417659603	562005	129400962	300	Canu v. 1.8	PacBio Sequel	long	88	76	12	5,3	6,7			Nanjing Forestry University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	deltoides		3696	GCA_014884945.1	PRJNA599215		13/10/20	3	413659111	2839540	127883751	125	Canu v. 1.8	PacBio Sequel	long	96,5	78,9	17,6	0,6	2,9			Nanjing Forestry University	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	euphratica	Euphrates poplar	75702	GCA_000495115.1	PRJNA178692		01/11/13	2	495875768	40472	133546225	115	BAC by BAC v. Oct-2011	Illumina Hiseq2000	short	96,5	77,5	19	0,8	2,7			Lanzhou University	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	glandulosa					https://doi.org/10.1007/s11676-020-01235-2	19/10/20	2	781360000	3660000	474430000		TrioCanu	PacBio and Illumina	long 								 Chinese Academy of Forestry	China	Asia	Cultivated
Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	ilicifolia		1902783	GCA_015708895.1	PRJNA471950		01/12/20	1	399016331	130809	123594588	266	"Platanus v. 1.2.1; GapCloser v. 1.12; RaGOO v. Unknown"	Illumina	short	96,8	84,7	12,1	0,7	2,5			Sichuan University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	pruinosa					doi: 10.1093/gigascience/gix075	06/09/17		479300000	14000	590000000		"Platanus v. 1.2.1; GapCloser v. 1.12; RaGOO v. Unknown"	Illumina	short 								Sichuan University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	simonii		295327	GCA_007827005.2	PRJNA545814		16/08/19	1	441407051	1939262	125220973	60	"FALCON v. 0.3; FALCON-Unzip v. MAY-2018"	PacBio Sequel	long	96,5	79,6	16,9	1	2,5			Nanjing Forestry University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	tremula					https://doi.org/10.1073/pnas.1801437115	13/11/18		390124095	42844				454 and Illumina	short									Sweden	Europe	Natural commodity
Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	tremuloides					https://doi.org/10.1073/pnas.1801437115	13/11/18		377489497	15222				454 and Illumina	short									Sweden	Europe	Natural commodity
Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Populus	trichocarpa	black cottonwood	3694	GCA_000002775.3	PRJNA10772		24/01/18	2	434132815	552806	344781425	8	ARACHNE_modified v. 200721016	"Sanger; Illumina"	short	96,6	80,3	16,3	1,2	2,2	38		US DOE Joint Genome Institute (JGI	USA	North America	Natural commodity
Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Salix	brachista		2182728	GCA_009078335.1	PRJNA472210		22/10/19	1	338822942	9522514	266383120	75	SMARTDENOVO v. 1.0	"Oxford Nanopore PromethION; Hi-C"	long	96,6	87,6	9	0,9	2,5			Chinese Academy of Sciences	China	Asia	Wild
Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Salix	dunnii		1413687	GCA_015731905.1	PRJNA670558		03/12/20	1	327222375	16656645	258948908	180	SMARTDENOVO v. 1.0	Oxford Nanopore PromethION	long	97,1	88,2	8,9	0,6	2,3			Fujian Argriculture and Forestry University	China	Asia	Wild
Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Salix	purpurea					https://phytozome.jgi.doe.gov/pz/portal.html#!info?alias=Org_Spurpurea			392000000				ALLPATHS-LG	Illumina	short								JGI	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Salix	suchowensis					 https://doi.org/10.1038/s41438-020-0268-6	01/04/20	2	356500000	263908	425000000	98	LACHESIS	PacBio	long								Nanjing Forestry University	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae	Salix	viminalis 					https://doi.org/10.1186/s12915-020-00808-1	30/06/20		357000000				SMRT and Pilon 	PacBio and Illumina	long 								University College London	United Kingdom	Europe	Wild
Tracheophyta	Magnoliopsida	Malpighiales	Violaceae	Viola	pubescens		97446	GCA_002752925.1	PRJNA379317		06/11/17	1	318365769	3429	103260594	165	ABySS v. 1.5.2	Illumina HiSeq	short	79,5	66	13,5	10,2	10,3			Michigan State University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Bombax	ceiba					doi:10.1093/gigascience/giy051	10/05/18	1	895000000	1000000	809166127		Falcon 	PacBio	long								College of Biological Resource and Food Engineering	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Corchorus	capsularis	jute	210143	GCA_001974805.1	PRJNA215142		30/01/17	1	317178409	46451	282684812	25	Celera Assembler v. 7.0	454	short	95,5	93,6	1,9	1,6	2,9	14	2	"Basic &amp; Applied Research on Jute Project, Bangladesh Jute Research Institute"	Bangladesh	Asia	Cultivated
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Corchorus	olitorius	Nalta jute	93759	GCA_001974825.1	PRJNA215141		30/01/17	2	334911943	44998	306521578	29	Celera Assembler v. 7.0	454	short	93,1	91	2,1	1,6	5,3	14	2	"Basic &amp; Applied Research on Jute Project, Bangladesh Jute Research Institute"	Bangladesh	Asia	Cultivated
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Durio	zibethinus	durian	66656	GCA_002303985.1	PRJNA400310	https://doi.org/10.1038/ng.3972	15/09/17	2	715230256	549783	210183856	153	"Falcon v. DEC-2016; HiRise v. APR-2017"	PacBio	long	96,6	76,8	19,8	0,8	2,6			Thorn Biosystems	Singapore	Asia	Domesticated
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypioides	kirkii		47615	GCA_005610355.1	PRJNA421334		22/05/19	2	538061146	8700000	2023965312	68	Canu v. 1.5	PacBio	long	96,8	90,5	6,3	1,2	2	24	2	NCGR	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	arboreum	tree cotton	29729	GCA_000612285.2	PRJNA203683		28/09/15	3	1694437502	71965	440297088	110	SOAPdenovo v. 2.01	Illumina Hiseq2000	short	95,1	88,8	6,3	1,2	3,7	26	2	BGI	China	Asia	Wild relative
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	aridum		34290	GCA_013487665.1	PRJNA488266		22/07/20	1	739119247	2287	613606901	56,49	"AbySS v. 2.0.1; Chromosomer v. August 2017"	Illumina HiSeq 2500	short	89,1	84,8	4,3	5,40E+00	5,5	26	2	Mississippi State University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	armourianum		34283	GCA_013677265.1	PRJNA488266		22/07/20	1	780950899	704	629533050	54,26	"AbySS v. 2.0.1; Chromosomer v. August 2017"	Illumina HiSeq 2500	short	89,8	85,7	4,1	4,9	5,3	26	2	Mississippi State University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	australe		47621	GCA_005393395.2	PRJNA513946		17/09/19	1	1743386794	1901092	1228769748	70	MECAT v. 1.0	PacBio Sequel	long	95	88,9	6,1	0,8	4,2	26	2	The institute of Cotton Research of Chinese Academy Agricultural Sciences	China	Asia	Wild
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	barbadense	sea-island cotton	3634	GCA_008761655.1	PRJNA516411	https://doi.org/10.1038/s41588-020-0614-5	08/10/19	3	2195804943	1769554	1611860242	90,05	Mecat v. 1.0	PacBio Sequel	long	97	10,3	86,7	0,2	2,8	52	4	HudsonAlpha Genome Sequencing Center	USA	North America	Domesticated
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	darwinii		34276	GCA_007990325.1	PRJNA516409		27/08/19	1	2182957963	9070717	1595260416	80,57	Mecat v. 1.0	PacBio Sequel	long	97,3	12,2	85,1	0,2	2,5	52	4	HudsonAlpha Genome Sequencing Center	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	davidsonii		34287	GCA_013677245.1	PRJNA488266		22/07/20	1	704223819	5564	596134856	54,85	"AbySS v. 2.0.1; Chromosomer v. August 2017"	Illumina HiSeq 2500	short	94,2	88,6	5,6	2,6	3,2	26	2	Mississippi State University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	gossypioides		34282	GCA_013467495.1	PRJNA488266		22/07/20	1	664724314	3979	568788552	59,15	"AbySS v. 2.0.1; Chromosomer v. August 2017"	Illumina HiSeq 2500	short	95,1	89,5	5,6	2,2	2,7	26	2	Mississippi State University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	harknessii		34285	GCA_013677255.1	PRJNA488266		22/07/20	1	732154658	2811	612726892	61,29	"AbySS v. 2.0.1; Chromosomer v. August 2017"	Illumina HiSeq 2500	short	90,1	85,4	4,7	5,7	4,2	26	2	Mississippi State University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	herbaceum					https://doi.org/10.1038/s41588-020-0607-4	13/04/20		1556000000	1915000			FALCON	PacBio and Illumina	long 								USDA-ARS and Wuhan University	USA and China	Multiple-North America and Asia	Domesticated
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	hirsutum	cotton	3635	GCA_006980745.1	PRJNA503326	https://doi.org/10.1038/s41467-019-10820-x	29/07/19	4	2287866413	4760671	637415560	0,96	Canu v. 1.5	PacBio Sequel	long	97,1	14	83,1	0,1	2,8	52	4	Chinese Academy of Agricultural Sciences	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	klotzschianum		34288	GCA_013511315.1	PRJNA488266		22/07/20	1	833895178	999	676355486	60,66	"AbySS v. 2.0.1; Chromosomer v. August 2017"	Illumina HiSeq 2500	short	92	87,5	4,5	2,9	5,1	26	2	Mississippi State University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	klotzschianum		34286	GCA_013677235.1	PRJNA488266		22/07/20	1	670958353	3703	570439297	57,07	"AbySS v. 2.0.1; Chromosomer v. August 2017"	Illumina HiSeq 2500	short	94	88,5	5,5	2,6	3,4	26	2	Mississippi State University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	lobatum		34289	GCA_013467485.1	PRJNA488266		22/07/20	1	744535494	2398	617556104	57,36	"AbySS v. 2.0.1; Chromosomer v. August 2017"	Illumina HiSeq 2500	short	91,5	86,9	4,6	4,3	4,2	26	2	Mississippi State University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	longicalyx		34280	GCA_010883175.1	PRJNA420071		21/02/20	1	1190210753	28545589	336024126	90	Canu v. 1.4	"PacBio Sequel; Oxford Nanopore MinION"	long	92,8	87,2	5,6	1,4	5,8	26	2	NCGR	USA	North America	Wild relative
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	mustelinum		34275	GCA_007990455.1	PRJNA525892		27/08/19	1	2315094184	2312865	1674738517	94,12	Mecat v. 1.0	PacBio Sequel	long	97,2	10,7	86,5	0,2	2,6	52	4	HudsonAlpha Genome Sequencing Center	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	raimondii		29730	GCA_000327365.1	PRJNA171262		20/12/12	4	761405269	119799	581306713	19,7	ARACHNE v. 20071016_modified	ABI3730	short	97,7	91,1	6,6	0,6	1,7	26	2	DOE Joint Genome Institute	USA	North America	Wild relative
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	schwendimanii		34291	GCA_013677275.1	PRJNA488266		22/07/20	1	729428757	4935	612659077	97,95	"AbySS v. 2.0.1; Chromosomer v. August 2017"	Illumina HiSeq 2500	short	95,5	90	5,5	1,7	2,8			Mississippi State University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	thurberi		34273	GCA_004027125.1	PRJNA488266		16/01/19	1	582006748	6033	162648880	37,5	"ABySS v. 2.0.1; Chromosomer v. August 2017"	Illumina HiSeq	short	94,7	89,2	5,5	2,2	3,1	26	2	Mississippi State University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	tomentosum		34277	GCA_007990485.1	PRJNA516412		27/08/19	1	2193557323	9994151	1608626729	76,81	Mecat v. 1.0	PacBio Sequel	long	97	10,3	86,7	0,2	2,8	52	4	HudsonAlpha Genome Sequencing Center	USA	North America	Wild relative
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	trilobum		34281	GCA_013467465.1	PRJNA488266		22/07/20	1	655376848	3931	551704124	55,93	"AbySS v. 2.0.1; Chromosomer v. August 2017"	Illumina HiSeq 2500	short	94,2	89,2	5	2,9	2,9	26	2	Mississippi State University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Gossypium	turneri		34284	GCA_008044935.1	PRJNA493521		21/08/19	1	755203240	7909293	3085529590	73	Canu v. 1.4	PacBio Sequel	long	95,6	89,8	5,8	0,7	3,7	26	2	NCGR	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Herrania	umbratica		108875	GCA_002168275.2	PRJNA383741		05/06/17	2	234039246	46150	206652708	223	"Meraculous v. OCT-2016; HiRise v. OCT-2016; PBjelly v. DEC-2016; Geneious v. MAR-2017; PILON v. MAY-2017"	"Illumina HiSeq; PacBio"	long	90,4	90	0,4	3,1	6,5			Mars, Incorporated	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Hibiscus	cannabinus					 https://doi.org/10.1111/pbi.13341	23/01/20	1	1084000000	2730000	1000000000			PacBio and Illumina	long 								Fujian Agriculture and Forestry University, and University of Illinois at Urbana-Champaign	China and USA	Multiple-Asia and North America	Cultivated
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Hibiscus	syriacus	Rose-of-Sharon	106335	GCA_001696755.1	PRJNA320964		29/07/16	2	1748252795	61305	547650302	122,8	Platanus and SSPACE v. 1.0	Illumina HiSeq	short	95,8	35,3	60,5	1,1	3,1			Korea Research Institute of Bioscience and Biotechnology	Korea	Asia	Cultivated
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Kokia	drynarioides		47617	GCA_002814295.1	PRJNA400144		08/12/17	1	517429527	72990	164538612	111	ABySS v. 2.0.1	"Illumina HiSeq; Illumina MiSeq"	short	97,7	90,9	6,8	0,6	1,7	24	2	Mississippi State University	USA	North America	Wild
Tracheophyta	Magnoliopsida	Malvales	Malvaceae	Theobroma	cacao	cacao	3641	GCA_000208745.2	PRJEB14326	DOI: 10.1038/ng.736 	09/07/16	3	324719311	87341	88328409				short	97,5	96,7	0,8	0,7	1,8	20	2	CIRAD	France	Europe	Domesticated
Tracheophyta	Magnoliopsida	Malvales	Thymelaeaceae	Aquilaria	agallochum		1472648	GCA_000696445.1	PRJNA240626		30/05/14	1	726710453	16831	201541811	196	String Graph Assembler v. 0.10.10	Illumina HiSeq	short	95,1	93,6	1,5	1,5	3,4			Academia Sinica	Taiwan	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Malvales	Thymelaeaceae	Aquilaria	sinensis		210372	GCA_005392925.1	PRJNA525935		15/05/19	2	699794123	323621	220865349	184	"Platanus v. 1.2.4; DBG2OLC v. DEC-2018; ra v. MAR-2018; Quickmerge v. 0.3; purge_haplotigs v. FEB-2019"	"Illumina HiSeq; PacBio Sequel"	long	95,7	92,1	3,6	1,1	3,2			South China Botanical Garden, Chinese Academy of Sciences	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Myrtales	Lythraceae	Punica	granatum	pomegranate	22663	GCA_007655135.2	PRJNA324150	doi: 10.1111/pbi.12875. Epub 2018 Jan 22.	22/10/19	5	320335647	4489929	88675781	60	Canu v. 1.5	PacBio RSII	long	96,7	93,9	2,8	1	2,3	16	2	Chinese Academy of Agricultural Sciences	China	Asia	Domesticated
Tracheophyta	Magnoliopsida	Myrtales	Lythraceae	Sonneratia	alba		122812	GCA_900174645.1	PRJEB8424		19/02/20	2	207167948	4012752	64416000	497			long	96	91,6	4,4	1,1	2,9			Zhang Zhang	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Myrtales	Lythraceae	Sonneratia	caseolaris		122814	GCA_900006705.1	PRJEB10300		19/02/20	1	207934454	39970	65200292	151				96,2	91,9	4,3	1	2,8			Zhang Zhang	China	Asia	Natural commodity
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Angophora	floribunda		34308	GCA_014182895.1	PRJNA509734		13/08/20	1	388206676	4016327	111121382	63	Canu v. 1.9	Oxford Nanopore MinION	long	96,3	94,4	1,9	1,5	2,2			Australian National University	Australia	Oceania	Wild
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Corymbia	calophylla		34324	GCA_014182845.1	PRJNA509734		13/08/20	1	394897432	1980233	112886656	66	Canu v. 1.9	Oxford Nanopore MinION	long	96,6	93,7	2,9	1,2	2,2			Australian National University	Australia	Oceania	Natural commodity
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Corymbia	citriodora		360336	GCA_014858505.1	PRJNA234431		05/10/20	1	544191601	185814	423749431	405	ARACHNE v. 20071016_HA		long	96,5	91,9	4,6	1,1	2,4			DOE Joint Genome Institute	USA	North America	Natural commodity
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Corymbia	maculata		87660	GCA_014182735.1	PRJNA509734		13/08/20	1	403819434	4690136	115711170	58	Canu v. 1.9	Oxford Nanopore MinION	long	96,9	94,7	2,2	1,4	1,7			Australian National University	Australia	Oceania	Natural commodity
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	albens		183809	GCA_014182695.1	PRJNA509734		13/08/20	1	606933636	2549117	173209915	67	Canu v. 1.9	Oxford Nanopore MinION	long								Australian National University	Australia	Oceania	Natural commodity
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	brandiana		2654256	GCA_014182725.1	PRJNA509734		13/08/20	1	507080314	7278395	144484493	55	Canu v. 1.9	Oxford Nanopore MinION	long	97,1	94,7	2,4	1,1	1,8			Australian National University	Australia	Oceania	Wild
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	caleyi		1711195	GCA_014182885.1	PRJNA509734		13/08/20	1	589163958	4772101	168698121	42	canu v. 1.9	Oxford Nanopore MinION	long	95	91,9	3,1	1,8	3,2			Australian National University	Australia	Oceania	Wild
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	camaldulensis	Murray red gum	34316	GCA_014182705.1	PRJNA509734		13/08/20	2	558448948	2481601	159870286	40	Canu v. 1.9	Oxford Nanopore MinION	long	95,7	93,2	2,5	1,7	2,6	22	2	Australian National University	Australia	Oceania	Natural commodity
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	cloeziana	dead finish	34320	GCA_014182715.1	PRJNA509734		13/08/20	1	480074877	1739940	137598402	32	Canu v. 1.9	Oxford Nanopore MinION	long	95,5	93,4	2,1	1,5	3			Australian National University	Australia	Oceania	Wild
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	coolabah	coolibah	881201	GCA_014182585.1	PRJNA509734		13/08/20	1	606305321	1289208	173522624	31	Canu v. 1.9	Oxford Nanopore MinION	long	93,1	90	3,1	3,1	3,8			Australian National University	Australia	Oceania	Natural commodity
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	dawsonii		1711249	GCA_016097615.1	PRJNA509734		16/12/20	1	706900568	985618	202892949	31	Canu v. 2	Oxford Nanopore MinION	long	95,6	88,7	6,9	1,7	2,7			Australian National University	Australia	Oceania	Wild
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	decipiens		1711251	GCA_014182575.1	PRJNA509734		13/08/20	1	590953863	1985744	168836898	35	Canu v. 1.9	Oxford Nanopore MinION	long								Australian National University	Australia	Oceania	Wild
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	erythrocorys	illyarie	34314	GCA_014182555.1	PRJNA509734		13/08/20	1	539196946	4024358	154475151	40	Canu v. 1.9	Oxford Nanopore MinION	long	96,1	93,5	2,6	1,3	2,6			Australian National University	Australia	Oceania	Natural commodity
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	globulus	blue gum	34317	GCA_014182545.1	PRJNA509734		13/08/20	1	545024609	636149	155813463	25	Canu v. 1.9	Oxford Nanopore MinION	long	94,8	92,3	2,5	1,5	3,7	22	2	Australian National University	Australia	Oceania	Cultivated
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	grandis	rose gum	71139	GCA_000612305.1	PRJNA49047		02/05/14	3	691269672	67250	497653417	6,73	ARACHNE v. 20071016_HA	ABI 3739	short	96,9	93,2	3,7	1,1	2	22	2	Geneglob			Natural commodity
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	guilfoylei		183827	GCA_016097605.1	PRJNA509734		16/12/20	1	472356222	4251439	135095893	45	Canu v. 2	Oxford Nanopore MinION	long	96,5	94	2,5	1,5	2			Australian National University	Australia	Oceania	Natural commodity
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	marginata		183836	GCA_014182565.1	PRJNA509734		13/08/20	1	512893265	1011736	146121634	33	Canu v. 1.9	Oxford Nanopore MinION	long	94	91	3	2,3	3,7			Australian National University	Australia	Oceania	Natural commodity
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	melliodora		183838	GCA_004368105.2	PRJNA509734		28/05/20	1	624609257	1974882	178877727	60	Canu v. 1.8		long	98,3	95,8	2,5	0,7	1			Australian National University	Australia	Oceania	Natural commodity
Tracheophyta	Magnoliopsida	Myrtales	Myrtaceae	Eucalyptus	microcorys	tallowwood	34315	GCA_014182515.1	PRJNA509734		13/08/20	1	440906681	4004785	126553516	78	Canu v. 1.9	Oxford Nanopore MinION	long	95,6	93,4	2,2	1,9	2,5			Australian National University	Australia	Oceania	Wild
